ad_viz_plotval_data-56
Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
03/23/2021,AQS,80010010,2,10.2,ug/m3 LC,53,Birch Street,1,100.0000,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.8281,-104.93647
03/29/2021,AQS,80010010,2,17.4,ug/m3 LC,66,Birch Street,1,100.0000,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.8281,-104.93647
04/04/2021,AQS,80010010,2,5.7,ug/m3 LC,32,Birch Street,1,100.0000,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.8281,-104.93647
04/10/2021,AQS,80010010,2,4.9,ug/m3 LC,27,Birch Street,1,100.0000,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.8281,-104.93647
04/16/2021,AQS,80010010,2,5.3,ug/m3 LC,29,Birch Street,1,100.0000,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.8281,-104.93647
04/22/2021,AQS,80010010,2,11.4,ug/m3 LC,55,Birch Street,1,100.0000,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.8281,-104.93647
05/22/2021,AQS,80010010,2,5.2,ug/m3 LC,29,Birch Street,1,100.0000,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.8281,-104.93647
05/28/2021,AQS,80010010,2,10.1,ug/m3 LC,53,Birch Street,1,100.0000,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.8281,-104.93647
06/03/2021,AQS,80010010,2,9.1,ug/m3 LC,51,Birch Street,1,100.0000,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.8281,-104.93647
06/15/2021,AQS,80010010,2,17.7,ug/m3 LC,67,Birch Street,1,100.0000,88101,PM2.5 - Local Conditions,145,R & P Model 2025 PM-2.5 Sequential Air Sampler w/VSCC,19740,"Denver-Aurora-Lakewood, CO",8,Colorado,1,Adams,39.8281,-104.93647
