ad_viz_plotval_data-41
Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2021,AQS,410010004,3,10.2,ug/m3 LC,53,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/02/2021,AQS,410010004,3,11.1,ug/m3 LC,55,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/03/2021,AQS,410010004,3,4,ug/m3 LC,22,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/04/2021,AQS,410010004,3,7.6,ug/m3 LC,42,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/05/2021,AQS,410010004,3,9,ug/m3 LC,50,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/06/2021,AQS,410010004,3,5.4,ug/m3 LC,30,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/07/2021,AQS,410010004,3,8.9,ug/m3 LC,49,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/08/2021,AQS,410010004,3,14.2,ug/m3 LC,61,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/09/2021,AQS,410010004,3,8.7,ug/m3 LC,48,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/10/2021,AQS,410010004,3,5.6,ug/m3 LC,31,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
01/11/2021,AQS,410010004,3,5.5,ug/m3 LC,31,Baker City - US Forest Service (BFS),1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,,,41,Oregon,1,Baker,44.78822,-117.8446
