ad_viz_plotval_data-45
Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
01/01/2019,AQS,530010003,4,2.6,ug/m3 LC,14,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/02/2019,AQS,530010003,4,2,ug/m3 LC,11,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/03/2019,AQS,530010003,4,1.7,ug/m3 LC,9,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/04/2019,AQS,530010003,4,1.9,ug/m3 LC,11,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/05/2019,AQS,530010003,4,1.4,ug/m3 LC,8,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/06/2019,AQS,530010003,4,1.1,ug/m3 LC,6,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/07/2019,AQS,530010003,4,1.8,ug/m3 LC,10,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/08/2019,AQS,530010003,4,2.3,ug/m3 LC,13,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/09/2019,AQS,530010003,4,2.1,ug/m3 LC,12,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/10/2019,AQS,530010003,4,5.4,ug/m3 LC,30,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/11/2019,AQS,530010003,4,3.2,ug/m3 LC,18,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/12/2019,AQS,530010003,4,3.2,ug/m3 LC,18,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/13/2019,AQS,530010003,4,4.6,ug/m3 LC,26,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/14/2019,AQS,530010003,4,4.9,ug/m3 LC,27,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/15/2019,AQS,530010003,4,5.7,ug/m3 LC,32,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/16/2019,AQS,530010003,4,5,ug/m3 LC,28,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/17/2019,AQS,530010003,4,2.7,ug/m3 LC,15,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/18/2019,AQS,530010003,4,3.1,ug/m3 LC,17,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/19/2019,AQS,530010003,4,2.5,ug/m3 LC,14,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/20/2019,AQS,530010003,4,2.6,ug/m3 LC,14,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/21/2019,AQS,530010003,4,1.8,ug/m3 LC,10,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/22/2019,AQS,530010003,4,2,ug/m3 LC,11,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/23/2019,AQS,530010003,4,1.8,ug/m3 LC,10,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/24/2019,AQS,530010003,4,3.4,ug/m3 LC,19,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/25/2019,AQS,530010003,4,6,ug/m3 LC,33,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/26/2019,AQS,530010003,4,8.8,ug/m3 LC,49,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/27/2019,AQS,530010003,4,2.7,ug/m3 LC,15,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/28/2019,AQS,530010003,4,2.6,ug/m3 LC,14,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/29/2019,AQS,530010003,4,3.4,ug/m3 LC,19,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/30/2019,AQS,530010003,4,4.2,ug/m3 LC,23,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
01/31/2019,AQS,530010003,4,5.6,ug/m3 LC,31,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
02/01/2019,AQS,530010003,4,5.1,ug/m3 LC,28,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
02/02/2019,AQS,530010003,4,5.6,ug/m3 LC,31,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
02/03/2019,AQS,530010003,4,3.3,ug/m3 LC,18,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
02/04/2019,AQS,530010003,4,2.6,ug/m3 LC,14,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
02/05/2019,AQS,530010003,4,3.1,ug/m3 LC,17,RITZVILLE - ALDER ST,1,100.0000,88502,Acceptable PM2.5 AQI & Speciation Mass,771,Correlated Radiance Research M903 With Heated Inlet,36830,"Othello, WA",53,Washington,1,Adams,47.12,-118.3819
